episode,total_reward,length,ammo,ammo_delta,health,hitcount,hitcount_delta,damage_taken,damage_taken_delta,total_timesteps
1,-1142.487311,34,0,0,0,0,0,0,0,272
2,-794.832172,40,0,0,0,0,0,0,0,320
3,-1174.935425,46,0,0,0,0,0,0,0,368
4,-857.250589,48,0,0,0,0,0,0,0,384
5,-544.907059,56,0,0,0,0,0,0,0,448
6,-795.184247,37,0,0,0,0,0,0,0,680
7,-942.666272,42,0,0,0,0,0,0,0,704
8,-1191.700632,98,0,0,0,0,0,0,0,784
9,-967.679843,65,0,0,0,0,0,0,0,968
10,-782.699319,83,0,0,0,0,0,0,0,984
11,-912.331464,37,0,0,0,0,0,0,0,1000
12,-837.612457,61,0,0,0,0,0,0,0,1168
13,-772.729977,37,0,0,0,0,0,0,0,1264
14,-847.614108,40,0,0,0,0,0,0,0,1320
15,-794.989621,37,0,0,0,0,0,0,0,1464
16,-466.48978,40,0,0,0,0,0,0,0,1640
17,-725.07901,76,0,0,0,0,0,0,0,1872
18,-832.637759,40,0,0,0,0,0,0,0,2192
19,-1231.014856,103,0,0,0,0,0,0,0,2464
20,-724.296133,49,0,0,0,0,0,0,0,2584
21,-763.019562,26,0,0,0,0,0,0,0,2672
22,-765.030896,37,0,0,0,0,0,0,0,2880
23,-2079.724963,440,0,0,0,0,0,0,0,3520
24,-1064.510638,100,0,0,0,0,0,0,0,3680
25,-589.708826,43,0,0,0,0,0,0,0,3864
26,-977.836719,35,0,0,0,0,0,0,0,3960
27,-1445.662955,169,0,0,0,0,0,0,0,4024
28,-661.992999,20,0,0,0,0,0,0,0,4184
29,-2035.699237,525,0,0,0,0,0,0,0,4200
30,-1099.803809,44,0,0,0,0,0,0,0,4312
31,-1011.248795,66,0,0,0,0,0,0,0,4392
32,-2291.242999,525,0,0,0,0,0,0,0,4472
33,-1079.571902,50,0,0,0,0,0,0,0,4600
34,-502.577969,37,0,0,0,0,0,0,0,4608
35,-527.075671,40,0,0,0,0,0,0,0,4712
36,-572.399234,40,0,0,0,0,0,0,0,4792
37,-2448.442035,525,0,0,0,0,0,0,0,4984
38,-963.441095,68,0,0,0,0,0,0,0,5152
39,-1802.515201,525,0,0,0,0,0,0,0,5184
40,-1211.404138,128,0,0,0,0,0,0,0,5208
41,-853.273517,65,0,0,0,0,0,0,0,5312
42,-764.610059,37,0,0,0,0,0,0,0,5480
43,-986.69599,49,0,0,0,0,0,0,0,5544
44,-2183.864917,525,0,0,0,0,0,0,0,5664
45,-610.390152,46,0,0,0,0,0,0,0,5680
46,-931.474814,44,0,0,0,0,0,0,0,5896
47,-1194.002808,106,0,0,0,0,0,0,0,6056
48,-784.873151,37,0,0,0,0,0,0,0,6192
49,-714.297382,75,0,0,0,0,0,0,0,6280
50,-1005.141357,86,0,0,0,0,0,0,0,6352
51,-789.852744,44,0,0,0,0,0,0,0,6408
52,-965.73273,40,0,0,0,0,0,0,0,6600
53,-1160.638889,145,0,0,0,0,0,0,0,6640
54,-704.284741,37,0,0,0,0,0,0,0,6648
55,-926.035556,35,0,0,0,0,0,0,0,6688
56,-761.023022,37,0,0,0,0,0,0,0,6936
57,-852.442822,37,0,0,0,0,0,0,0,6944
58,-576.56647,40,0,0,0,0,0,0,0,7008
59,-814.399203,55,0,0,0,0,0,0,0,7040
60,-907.629907,48,0,0,0,0,0,0,0,7320
61,-499.849631,39,0,0,0,0,0,0,0,7352
62,-919.468137,47,0,0,0,0,0,0,0,7384
63,-881.192029,67,0,0,0,0,0,0,0,7480
64,-637.293469,37,0,0,0,0,0,0,0,7616
65,-760.868872,44,0,0,0,0,0,0,0,7704
66,-787.836993,60,0,0,0,0,0,0,0,7864
67,-1058.381345,77,0,0,0,0,0,0,0,8232
68,-1169.498538,100,0,0,0,0,0,0,0,8504
69,-2129.804096,525,0,0,0,0,0,0,0,8800
70,-587.481042,43,0,0,0,0,0,0,0,8848
71,-2311.643161,525,0,0,0,0,0,0,0,8912
72,-677.403653,37,0,0,0,0,0,0,0,9144
73,-1144.095691,115,0,0,0,0,0,0,0,9152
74,-2841.776752,525,0,0,0,0,0,0,0,9184
75,-526.673596,37,0,0,0,0,0,0,0,9208
76,-766.481076,42,0,0,0,0,0,0,0,9480
77,-688.19212,52,0,0,0,0,0,0,0,9568
78,-1138.705093,81,0,0,0,0,0,0,0,9856
79,-946.378134,54,0,0,0,0,0,0,0,9912
80,-773.645734,37,0,0,0,0,0,0,0,10152
81,-549.496243,32,0,0,0,0,0,0,0,10168
82,-2441.932056,525,0,0,0,0,0,0,0,10392
83,-573.988187,37,0,0,0,0,0,0,0,10448
84,-1380.543027,162,0,0,0,0,0,0,0,10480
85,-1852.792233,237,0,0,0,0,0,0,0,10696
86,-982.894827,49,0,0,0,0,0,0,0,10784
87,-600.974692,44,0,0,0,0,0,0,0,10800
88,-781.904263,42,0,0,0,0,0,0,0,11032
89,-737.500989,37,0,0,0,0,0,0,0,11080
90,-945.179343,44,0,0,0,0,0,0,0,11152
91,-1192.868497,107,0,0,0,0,0,0,0,11336
92,-1041.034073,46,0,0,0,0,0,0,0,11400
93,-1404.557251,166,0,0,0,0,0,0,0,11496
94,-543.805942,70,0,0,0,0,0,0,0,11640
95,-797.642178,42,0,0,0,0,0,0,0,11672
96,-787.692691,65,0,0,0,0,0,0,0,11672
97,-2706.237506,525,0,0,0,0,0,0,0,11680
98,-1169.261255,48,0,0,0,0,0,0,0,11784
99,-604.223038,46,0,0,0,0,0,0,0,11864
100,-515.897382,37,0,0,0,0,0,0,0,11936
101,-551.83067,37,0,0,0,0,0,0,0,11968
102,-520.837848,40,0,0,0,0,0,0,0,11992
103,-661.089304,43,0,0,0,0,0,0,0,12024
104,-1887.152866,525,0,0,0,0,0,0,0,12064
105,-585.53197,40,0,0,0,0,0,0,0,12104
106,-694.345129,24,0,0,0,0,0,0,0,12184
107,-788.962796,37,0,0,0,0,0,0,0,12232
108,-905.581577,55,0,0,0,0,0,0,0,12408
109,-946.720816,54,0,0,0,0,0,0,0,12496
110,-1151.239322,50,0,0,0,0,0,0,0,12584
111,-800.961963,75,0,0,0,0,0,0,0,12624
112,-793.832898,37,0,0,0,0,0,0,0,12704
113,-573.824359,40,0,0,0,0,0,0,0,12816
114,-577.7741,34,0,0,0,0,0,0,0,12896
115,-558.903043,37,0,0,0,0,0,0,0,13000
116,-1090.892447,54,0,0,0,0,0,0,0,13016
117,-1201.736652,105,0,0,0,0,0,0,0,13072
118,-469.039972,28,0,0,0,0,0,0,0,13240
119,-681.45459,36,0,0,0,0,0,0,0,13288
120,-491.797253,37,0,0,0,0,0,0,0,13368
121,-496.35202,21,0,0,0,0,0,0,0,13456
122,-1002.513202,80,0,0,0,0,0,0,0,13536
123,-558.504987,37,0,0,0,0,0,0,0,13752
124,-2699.768466,525,0,0,0,0,0,0,0,13768
125,-832.839383,52,0,0,0,0,0,0,0,13952
126,-1268.679846,109,0,0,0,0,0,0,0,14112
127,-749.360941,43,0,0,0,0,0,0,0,14112
128,-787.404544,35,0,0,0,0,0,0,0,14392
129,-1022.584293,85,0,0,0,0,0,0,0,14632
130,-1049.22467,86,0,0,0,0,0,0,0,14800
131,-1547.521317,201,0,0,0,0,0,0,0,14976
132,-1203.137891,52,0,0,0,0,0,0,0,15048
133,-1072.886279,95,0,0,0,0,0,0,0,15152
134,-577.78009,46,0,0,0,0,0,0,0,15168
135,-1036.237344,43,0,0,0,0,0,0,0,15392
136,-1544.521182,210,0,0,0,0,0,0,0,15432
137,-1002.136902,81,0,0,0,0,0,0,0,15624
138,-920.183578,61,0,0,0,0,0,0,0,15656
139,-887.022241,38,0,0,0,0,0,0,0,15736
140,-807.464343,40,0,0,0,0,0,0,0,15976
141,-2173.398731,525,0,0,0,0,0,0,0,16064
142,-582.842661,43,0,0,0,0,0,0,0,16080
143,-1210.898105,95,0,0,0,0,0,0,0,16152
144,-899.942896,68,0,0,0,0,0,0,0,16168
145,-874.468628,31,0,0,0,0,0,0,0,16224
