episode,total_reward,length,ammo,ammo_delta,health,hitcount,hitcount_delta,damage_taken,damage_taken_delta,total_timesteps
1,-1075.73067,25,0,0,0,0,0,0,0,200
2,-794.832172,40,0,0,0,0,0,0,0,320
3,-900.199496,50,0,0,0,0,0,0,0,400
4,-788.138275,71,0,0,0,0,0,0,0,568
5,-701.419217,42,0,0,0,0,0,0,0,656
6,-668.969815,37,0,0,0,0,0,0,0,696
7,-1163.39985,88,0,0,0,0,0,0,0,704
8,-1191.700632,98,0,0,0,0,0,0,0,784
9,-752.168912,37,0,0,0,0,0,0,0,992
10,-777.88078,37,0,0,0,0,0,0,0,1080
11,-947.991461,64,0,0,0,0,0,0,0,1592
12,-1347.127002,240,0,0,0,0,0,0,0,1920
13,-1461.099338,185,0,0,0,0,0,0,0,2136
14,-969.870529,66,0,0,0,0,0,0,0,2448
15,-684.58566,57,0,0,0,0,0,0,0,2592
16,-793.837466,40,0,0,0,0,0,0,0,2768
17,-666.76958,30,0,0,0,0,0,0,0,2832
18,-558.12984,40,0,0,0,0,0,0,0,3152
19,-730.375455,37,0,0,0,0,0,0,0,3448
20,-2079.724963,440,0,0,0,0,0,0,0,3520
21,-1577.074683,324,0,0,0,0,0,0,0,3584
22,-1199.6354,108,0,0,0,0,0,0,0,3632
23,-587.460324,27,0,0,0,0,0,0,0,3736
24,-1078.428641,34,0,0,0,0,0,0,0,3856
25,-536.098193,40,0,0,0,0,0,0,0,4056
26,-734.079095,43,0,0,0,0,0,0,0,4200
27,-521.12262,26,0,0,0,0,0,0,0,4264
28,-1973.607852,525,0,0,0,0,0,0,0,4400
29,-1032.326389,100,0,0,0,0,0,0,0,4432
30,-2606.47356,525,0,0,0,0,0,0,0,4768
31,-2488.858951,525,0,0,0,0,0,0,0,4904
32,-669.423401,31,0,0,0,0,0,0,0,5016
33,-1197.297552,104,0,0,0,0,0,0,0,5096
34,-930.733002,91,0,0,0,0,0,0,0,5160
35,-778.886429,41,0,0,0,0,0,0,0,5232
36,-1002.799213,105,0,0,0,0,0,0,0,5240
37,-614.100211,44,0,0,0,0,0,0,0,5512
38,-2594.297351,525,0,0,0,0,0,0,0,5792
39,-763.255276,37,0,0,0,0,0,0,0,5808
40,-1174.091284,104,0,0,0,0,0,0,0,6072
41,-518.007169,37,0,0,0,0,0,0,0,6088
42,-610.575403,43,0,0,0,0,0,0,0,6152
43,-800.597073,37,0,0,0,0,0,0,0,6384
44,-784.100229,43,0,0,0,0,0,0,0,6416
45,-841.726151,66,0,0,0,0,0,0,0,6680
46,-923.907761,46,0,0,0,0,0,0,0,6784
47,-930.187833,197,0,0,0,0,0,0,0,6808
48,-600.328012,43,0,0,0,0,0,0,0,7128
49,-557.2091,38,0,0,0,0,0,0,0,7432
50,-2632.672641,525,0,0,0,0,0,0,0,7648
51,-1243.918753,129,0,0,0,0,0,0,0,7712
52,-787.151273,37,0,0,0,0,0,0,0,7728
53,-1011.45817,23,0,0,0,0,0,0,0,7832
54,-678.130481,35,0,0,0,0,0,0,0,7992
55,-1038.224777,26,0,0,0,0,0,0,0,8200
56,-956.371338,66,0,0,0,0,0,0,0,8256
57,-2545.444782,525,0,0,0,0,0,0,0,8400
58,-973.858575,78,0,0,0,0,0,0,0,8456
59,-800.387677,42,0,0,0,0,0,0,0,8592
60,-518.754547,46,0,0,0,0,0,0,0,8824
61,-790.533459,37,0,0,0,0,0,0,0,8888
62,-1161.55112,100,0,0,0,0,0,0,0,9000
63,-1186.259747,92,0,0,0,0,0,0,0,9136
64,-2845.056079,525,0,0,0,0,0,0,0,9216
65,-2623.511142,525,0,0,0,0,0,0,0,9296
66,-899.780057,52,0,0,0,0,0,0,0,9304
67,-739.625714,37,0,0,0,0,0,0,0,9512
68,-1072.68804,94,0,0,0,0,0,0,0,9576
69,-775.023709,37,0,0,0,0,0,0,0,9592
70,-798.770908,70,0,0,0,0,0,0,0,9696
71,-536.382358,40,0,0,0,0,0,0,0,9912
72,-951.137344,56,0,0,0,0,0,0,0,9960
73,-772.813992,37,0,0,0,0,0,0,0,9992
74,-700.884915,27,0,0,0,0,0,0,0,10176
75,-560.740662,46,0,0,0,0,0,0,0,10360
76,-1128.420654,81,0,0,0,0,0,0,0,10560
77,-2213.108142,525,0,0,0,0,0,0,0,10584
78,-565.641519,38,0,0,0,0,0,0,0,10664
79,-585.327115,37,0,0,0,0,0,0,0,10856
80,-1836.435858,244,0,0,0,0,0,0,0,10952
81,-2444.02785,525,0,0,0,0,0,0,0,11008
82,-819.720685,52,0,0,0,0,0,0,0,11080
83,-1047.431677,54,0,0,0,0,0,0,0,11288
84,-517.749936,37,0,0,0,0,0,0,0,11304
85,-610.582849,43,0,0,0,0,0,0,0,11424
86,-1055.089359,110,0,0,0,0,0,0,0,11464
87,-739.50282,37,0,0,0,0,0,0,0,11584
88,-786.430164,40,0,0,0,0,0,0,0,11624
89,-604.350845,46,0,0,0,0,0,0,0,11792
90,-315.201605,29,0,0,0,0,0,0,0,11816
91,-1046.219409,85,0,0,0,0,0,0,0,12144
92,-1775.859854,269,0,0,0,0,0,0,0,12328
93,-967.1064,66,0,0,0,0,0,0,0,12344
94,-1124.189236,92,0,0,0,0,0,0,0,12360
95,-869.69249,81,0,0,0,0,0,0,0,12440
96,-560.709406,38,0,0,0,0,0,0,0,12448
97,-494.166043,37,0,0,0,0,0,0,0,12656
98,-819.074091,43,0,0,0,0,0,0,0,12688
99,-580.009656,37,0,0,0,0,0,0,0,12736
100,-950.316968,52,0,0,0,0,0,0,0,12744
101,-528.467776,40,0,0,0,0,0,0,0,12768
102,-839.193442,29,0,0,0,0,0,0,0,13000
103,-994.030646,49,0,0,0,0,0,0,0,13128
104,-974.070923,71,0,0,0,0,0,0,0,13256
105,-2248.722842,508,0,0,0,0,0,0,0,13368
106,-997.747852,60,0,0,0,0,0,0,0,13480
107,-981.815579,47,0,0,0,0,0,0,0,13504
108,-793.270779,52,0,0,0,0,0,0,0,13672
109,-675.986127,37,0,0,0,0,0,0,0,13776
110,-2039.606967,525,0,0,0,0,0,0,0,13776
111,-984.58252,41,0,0,0,0,0,0,0,13832
112,-994.513885,31,0,0,0,0,0,0,0,14024
113,-749.786142,43,0,0,0,0,0,0,0,14120
114,-687.264261,58,0,0,0,0,0,0,0,14136
115,-757.30058,37,0,0,0,0,0,0,0,14432
116,-553.931201,40,0,0,0,0,0,0,0,14440
117,-1752.95148,235,0,0,0,0,0,0,0,14624
118,-1752.237634,258,0,0,0,0,0,0,0,14720
119,-528.834003,40,0,0,0,0,0,0,0,14752
120,-1254.057162,130,0,0,0,0,0,0,0,14872
121,-1176.98728,54,0,0,0,0,0,0,0,14872
122,-767.945493,37,0,0,0,0,0,0,0,14920
123,-767.967511,37,0,0,0,0,0,0,0,15016
124,-2521.198505,525,0,0,0,0,0,0,0,15152
125,-766.535382,37,0,0,0,0,0,0,0,15168
126,-998.582471,42,0,0,0,0,0,0,0,15256
127,-1121.802991,52,0,0,0,0,0,0,0,15288
128,-844.163464,37,0,0,0,0,0,0,0,15312
129,-1541.199252,185,0,0,0,0,0,0,0,15504
130,-1168.178394,50,0,0,0,0,0,0,0,15552
131,-987.592752,63,0,0,0,0,0,0,0,15672
132,-980.933926,47,0,0,0,0,0,0,0,15688
133,-764.514594,54,0,0,0,0,0,0,0,15720
134,-604.896982,58,0,0,0,0,0,0,0,15720
135,-663.553882,40,0,0,0,0,0,0,0,15824
136,-1375.928778,149,0,0,0,0,0,0,0,15944
137,-858.190939,44,0,0,0,0,0,0,0,16040
138,-1216.10466,96,0,0,0,0,0,0,0,16320
139,-905.296075,48,0,0,0,0,0,0,0,16424
140,-1088.567245,66,0,0,0,0,0,0,0,16472
141,-1184.163467,106,0,0,0,0,0,0,0,16520
142,-694.389978,23,0,0,0,0,0,0,0,16704
143,-715.864728,37,0,0,0,0,0,0,0,16720
144,-726.326563,43,0,0,0,0,0,0,0,16816
145,-791.825241,76,0,0,0,0,0,0,0,16928
146,-1113.348969,31,0,0,0,0,0,0,0,16968
147,-675.936063,37,0,0,0,0,0,0,0,17000
148,-930.291345,93,0,0,0,0,0,0,0,17560
149,-2383.761737,525,0,0,0,0,0,0,0,17568
150,-572.808127,44,0,0,0,0,0,0,0,17912
151,-862.658521,72,0,0,0,0,0,0,0,18144
152,-1408.548685,153,0,0,0,0,0,0,0,18192
153,-832.448898,51,0,0,0,0,0,0,0,18320
154,-299.852289,33,0,0,0,0,0,0,0,18408
155,-568.057956,40,0,0,0,0,0,0,0,18512
156,-662.158566,32,0,0,0,0,0,0,0,18576
157,-816.252863,43,0,0,0,0,0,0,0,18752
158,-1059.679977,31,0,0,0,0,0,0,0,18824
159,-565.755481,40,0,0,0,0,0,0,0,18832
160,-1045.467371,43,0,0,0,0,0,0,0,19176
161,-696.811261,27,0,0,0,0,0,0,0,19392
162,-578.467444,44,0,0,0,0,0,0,0,19744
163,-2148.512653,525,0,0,0,0,0,0,0,19920
164,-2279.918521,525,0,0,0,0,0,0,0,19920
165,-2187.993274,525,0,0,0,0,0,0,0,20024
166,-784.14491,32,0,0,0,0,0,0,0,20176
167,-965.049252,42,0,0,0,0,0,0,0,20256
168,-669.333539,42,0,0,0,0,0,0,0,20360
169,-910.673511,80,0,0,0,0,0,0,0,20384
170,-961.595184,46,0,0,0,0,0,0,0,20544
171,-573.226346,37,0,0,0,0,0,0,0,20680
172,-951.341556,55,0,0,0,0,0,0,0,20696
173,-810.869836,23,0,0,0,0,0,0,0,20864
174,-856.053513,41,0,0,0,0,0,0,0,21024
175,-2260.54697,525,0,0,0,0,0,0,0,21128
176,-1007.247238,76,0,0,0,0,0,0,0,21152
177,-2227.557803,525,0,0,0,0,0,0,0,21200
178,-617.076343,45,0,0,0,0,0,0,0,21224
179,-527.878748,38,0,0,0,0,0,0,0,21328
180,-1011.024402,40,0,0,0,0,0,0,0,21448
181,-594.897943,38,0,0,0,0,0,0,0,21456
182,-1358.496313,144,0,0,0,0,0,0,0,21512
183,-715.647662,40,0,0,0,0,0,0,0,21544
184,-482.29353,37,0,0,0,0,0,0,0,21624
185,-517.17251,33,0,0,0,0,0,0,0,21720
186,-607.854257,43,0,0,0,0,0,0,0,21888
187,-694.900296,67,0,0,0,0,0,0,0,21984
188,-953.404218,67,0,0,0,0,0,0,0,22048
189,-1107.053503,109,0,0,0,0,0,0,0,22072
190,-981.398755,37,0,0,0,0,0,0,0,22184
191,-915.031577,74,0,0,0,0,0,0,0,22216
192,-539.851474,40,0,0,0,0,0,0,0,22392
193,-806.299707,63,0,0,0,0,0,0,0,22488
194,-721.536511,37,0,0,0,0,0,0,0,22512
195,-814.431375,63,0,0,0,0,0,0,0,22552
196,-519.958218,37,0,0,0,0,0,0,0,22688
197,-942.585968,31,0,0,0,0,0,0,0,22736
198,-1053.880002,32,0,0,0,0,0,0,0,22768
199,-719.874646,32,0,0,0,0,0,0,0,22808
200,-726.678601,22,0,0,0,0,0,0,0,22864
201,-2563.309146,525,0,0,0,0,0,0,0,22952
202,-2109.773151,525,0,0,0,0,0,0,0,23024
203,-575.502042,37,0,0,0,0,0,0,0,23032
204,-831.327695,37,0,0,0,0,0,0,0,23064
205,-1121.390677,114,0,0,0,0,0,0,0,23096
206,-768.199323,37,0,0,0,0,0,0,0,23104
207,-915.405884,41,0,0,0,0,0,0,0,23280
208,-749.769739,43,0,0,0,0,0,0,0,23408
209,-509.797644,49,0,0,0,0,0,0,0,23416
210,-920.259293,41,0,0,0,0,0,0,0,23432
211,-695.370319,80,0,0,0,0,0,0,0,23504
212,-775.47587,48,0,0,0,0,0,0,0,23816
213,-920.169971,50,0,0,0,0,0,0,0,23816
214,-1152.488886,88,0,0,0,0,0,0,0,24112
215,-1077.925854,47,0,0,0,0,0,0,0,24192
216,-783.978278,34,0,0,0,0,0,0,0,24384
217,-1486.774759,158,0,0,0,0,0,0,0,24544
218,-348.209235,49,0,0,0,0,0,0,0,24776
219,-1153.412311,85,0,0,0,0,0,0,0,24872
220,-1112.105109,34,0,0,0,0,0,0,0,25048
221,-474.413831,37,0,0,0,0,0,0,0,25168
222,-1043.035709,80,0,0,0,0,0,0,0,25184
223,-790.902142,37,0,0,0,0,0,0,0,25344
224,-1108.566641,44,0,0,0,0,0,0,0,25520
225,-735.255414,37,0,0,0,0,0,0,0,25816
226,-2690.499164,525,0,0,0,0,0,0,0,25920
227,-839.638211,37,0,0,0,0,0,0,0,26112
228,-813.417676,27,0,0,0,0,0,0,0,26136
229,-981.847415,80,0,0,0,0,0,0,0,26776
230,-946.50025,114,0,0,0,0,0,0,0,27024
231,-744.604733,37,0,0,0,0,0,0,0,27072
232,-1542.427167,217,0,0,0,0,0,0,0,27080
233,-2104.832477,525,0,0,0,0,0,0,0,27232
234,-2050.881137,525,0,0,0,0,0,0,0,27296
235,-882.408783,31,0,0,0,0,0,0,0,27320
236,-1102.324161,45,0,0,0,0,0,0,0,27440
237,-937.102667,64,0,0,0,0,0,0,0,27536
238,-597.951334,43,0,0,0,0,0,0,0,27576
239,-1020.192929,37,0,0,0,0,0,0,0,27616
240,-2276.786655,525,0,0,0,0,0,0,0,27704
241,-788.708447,42,0,0,0,0,0,0,0,27912
242,-1914.432376,525,0,0,0,0,0,0,0,28016
243,-555.530853,46,0,0,0,0,0,0,0,28072
244,-945.501474,68,0,0,0,0,0,0,0,28080
245,-580.36713,40,0,0,0,0,0,0,0,28232
246,-845.344397,79,0,0,0,0,0,0,0,28248
247,-541.844397,44,0,0,0,0,0,0,0,28432
248,-832.076465,55,0,0,0,0,0,0,0,28688
249,-733.106537,36,0,0,0,0,0,0,0,28720
250,-1267.004025,112,0,0,0,0,0,0,0,28968
251,-1353.915741,121,0,0,0,0,0,0,0,28984
252,-1556.84205,478,0,0,0,0,0,0,0,29008
253,-471.100616,46,0,0,0,0,0,0,0,29056
254,-1026.494739,40,0,0,0,0,0,0,0,29288
255,-816.577341,48,0,0,0,0,0,0,0,29392
256,-1002.058621,62,0,0,0,0,0,0,0,29480
257,-784.482495,37,0,0,0,0,0,0,0,29584
258,-996.298944,68,0,0,0,0,0,0,0,29600
259,-737.878445,37,0,0,0,0,0,0,0,29688
260,-795.167249,37,0,0,0,0,0,0,0,29776
261,-1051.292807,34,0,0,0,0,0,0,0,29856
262,-1217.993198,145,0,0,0,0,0,0,0,29880
263,-691.447989,44,0,0,0,0,0,0,0,29952
264,-1664.61648,333,0,0,0,0,0,0,0,29960
265,-589.693732,49,0,0,0,0,0,0,0,30080
266,-926.091986,34,0,0,0,0,0,0,0,30224
267,-618.817444,46,0,0,0,0,0,0,0,30328
268,-1052.534738,73,0,0,0,0,0,0,0,30360
269,-584.833224,40,0,0,0,0,0,0,0,30400
270,-1086.119034,91,0,0,0,0,0,0,0,30584
271,-909.278119,47,0,0,0,0,0,0,0,30600
272,-779.491681,37,0,0,0,0,0,0,0,30624
273,-1200.1836,104,0,0,0,0,0,0,0,30712
274,-539.701251,40,0,0,0,0,0,0,0,30720
275,-864.560617,33,0,0,0,0,0,0,0,30848
276,-1214.108804,58,0,0,0,0,0,0,0,31064
277,-739.761957,43,0,0,0,0,0,0,0,31192
278,-1110.044257,79,0,0,0,0,0,0,0,31352
279,-447.107425,25,0,0,0,0,0,0,0,31392
280,-2392.854828,525,0,0,0,0,0,0,0,31640
