episode,total_reward,length,ammo,ammo_delta,health,hitcount,hitcount_delta,damage_taken,damage_taken_delta,total_timesteps
1,-646.646469,27,0,0,0,0,0,0,0,216
2,-429.827393,33,0,0,0,0,0,0,0,264
3,-617.331314,40,0,0,0,0,0,0,0,320
4,-816.138504,43,0,0,0,0,0,0,0,344
5,-830.374649,48,0,0,0,0,0,0,0,384
6,-1105.572357,65,0,0,0,0,0,0,0,520
7,-751.66481,37,0,0,0,0,0,0,0,640
8,-591.867813,37,0,0,0,0,0,0,0,680
9,-856.218369,65,0,0,0,0,0,0,0,736
10,-1155.560349,57,0,0,0,0,0,0,0,776
11,-606.230789,37,0,0,0,0,0,0,0,816
12,-771.435806,26,0,0,0,0,0,0,0,1024
13,-842.655396,53,0,0,0,0,0,0,0,1064
14,-576.216476,42,0,0,0,0,0,0,0,1072
15,-1236.658356,143,0,0,0,0,0,0,0,1144
16,-1104.375671,26,0,0,0,0,0,0,0,1232
17,-925.195267,23,0,0,0,0,0,0,0,1256
18,-397.433807,37,0,0,0,0,0,0,0,1360
19,-571.405029,40,0,0,0,0,0,0,0,1464
20,-906.451874,41,0,0,0,0,0,0,0,1560
21,-685.847565,40,0,0,0,0,0,0,0,1576
22,-692.029999,34,0,0,0,0,0,0,0,1632
23,-766.043045,37,0,0,0,0,0,0,0,1760
24,-586.568161,37,0,0,0,0,0,0,0,1856
25,-808.884933,37,0,0,0,0,0,0,0,1872
26,-757.423157,43,0,0,0,0,0,0,0,2200
27,-1709.377228,206,0,0,0,0,0,0,0,2328
28,-1233.590698,115,0,0,0,0,0,0,0,2552
29,-869.626328,46,0,0,0,0,0,0,0,2696
30,-1155.772308,108,0,0,0,0,0,0,0,2736
31,-1074.080154,81,0,0,0,0,0,0,0,2848
32,-487.825714,21,0,0,0,0,0,0,0,3016
33,-1051.466293,38,0,0,0,0,0,0,0,3040
34,-617.9216,48,0,0,0,0,0,0,0,3400
35,-958.274948,94,0,0,0,0,0,0,0,3448
36,-2326.595276,440,0,0,0,0,0,0,0,3520
37,-779.715378,37,0,0,0,0,0,0,0,3696
38,-1992.456329,382,0,0,0,0,0,0,0,3832
39,-618.110779,43,0,0,0,0,0,0,0,3864
40,-974.725647,33,0,0,0,0,0,0,0,4096
41,-927.881119,62,0,0,0,0,0,0,0,4192
42,-754.580811,55,0,0,0,0,0,0,0,4304
43,-2991.058807,525,0,0,0,0,0,0,0,4464
44,-1107.354507,47,0,0,0,0,0,0,0,4568
45,-1169.241531,37,0,0,0,0,0,0,0,4760
46,-776.72963,37,0,0,0,0,0,0,0,4864
47,-1950.624969,236,0,0,0,0,0,0,0,4928
48,-561.776978,40,0,0,0,0,0,0,0,5080
49,-1229.67569,101,0,0,0,0,0,0,0,5112
50,-835.044189,42,0,0,0,0,0,0,0,5200
51,-1053.83342,41,0,0,0,0,0,0,0,5256
52,-877.849747,42,0,0,0,0,0,0,0,5536
53,-2857.401474,525,0,0,0,0,0,0,0,5960
54,-1153.111099,102,0,0,0,0,0,0,0,6072
55,-1108.969177,79,0,0,0,0,0,0,0,6168
56,-1310.99501,67,0,0,0,0,0,0,0,6496
57,-680.667648,58,0,0,0,0,0,0,0,6536
58,-2251.603256,525,0,0,0,0,0,0,0,6752
59,-1031.443253,36,0,0,0,0,0,0,0,6784
60,-918.873611,53,0,0,0,0,0,0,0,6960
