episode,total_reward,length,ammo,ammo_delta,health,hitcount,hitcount_delta,damage_taken,damage_taken_delta,total_timesteps
1,-389.738419,18,0,0,0,0,0,0,0,144
2,-820.853851,40,0,0,0,0,0,0,0,320
3,-990.185883,49,0,0,0,0,0,0,0,392
4,-946.659943,57,0,0,0,0,0,0,0,456
5,-823.660126,57,0,0,0,0,0,0,0,600
6,-905.590927,39,0,0,0,0,0,0,0,632
7,-833.81813,35,0,0,0,0,0,0,0,672
8,-1170.21077,92,0,0,0,0,0,0,0,736
9,-590.873474,19,0,0,0,0,0,0,0,752
10,-1248.587936,98,0,0,0,0,0,0,0,784
11,-802.253632,37,0,0,0,0,0,0,0,1080
12,-873.97821,44,0,0,0,0,0,0,0,1088
13,-1191.578308,161,0,0,0,0,0,0,0,1288
14,-307.72168,33,0,0,0,0,0,0,0,1352
15,-588.850754,43,0,0,0,0,0,0,0,1424
16,-608.835007,37,0,0,0,0,0,0,0,1584
17,-728.290146,40,0,0,0,0,0,0,0,1672
18,-548.1306,44,0,0,0,0,0,0,0,1936
19,-1232.856689,112,0,0,0,0,0,0,0,2320
20,-1117.23735,88,0,0,0,0,0,0,0,2376
21,-1129.993118,106,0,0,0,0,0,0,0,2784
22,-1640.600464,274,0,0,0,0,0,0,0,2944
23,-2145.601669,387,0,0,0,0,0,0,0,3096
24,-1197.702972,106,0,0,0,0,0,0,0,3168
25,-1023.8293,70,0,0,0,0,0,0,0,3344
26,-1066.956985,57,0,0,0,0,0,0,0,3624
27,-814.513977,43,0,0,0,0,0,0,0,3688
28,-1189.332657,114,0,0,0,0,0,0,0,3856
29,-1054.978592,29,0,0,0,0,0,0,0,3856
30,-765.291504,37,0,0,0,0,0,0,0,3984
31,-1717.836502,209,0,0,0,0,0,0,0,4048
32,-1269.147552,121,0,0,0,0,0,0,0,4064
33,-762.891205,43,0,0,0,0,0,0,0,4200
34,-586.846664,37,0,0,0,0,0,0,0,4280
35,-607.407944,38,0,0,0,0,0,0,0,4352
36,-600.470459,37,0,0,0,0,0,0,0,4360
37,-858.973633,67,0,0,0,0,0,0,0,4392
38,-796.463455,40,0,0,0,0,0,0,0,4600
39,-767.100769,37,0,0,0,0,0,0,0,4648
40,-2503.186386,525,0,0,0,0,0,0,0,4656
41,-610.090424,37,0,0,0,0,0,0,0,4688
42,-782.692062,43,0,0,0,0,0,0,0,4704
43,-2031.282745,525,0,0,0,0,0,0,0,4832
44,-3195.711563,525,0,0,0,0,0,0,0,4872
45,-603.918091,37,0,0,0,0,0,0,0,5000
46,-1088.133636,31,0,0,0,0,0,0,0,5080
47,-1175.50795,78,0,0,0,0,0,0,0,5224
48,-885.64476,47,0,0,0,0,0,0,0,5248
49,-1004.103088,97,0,0,0,0,0,0,0,5424
50,-1178.596085,105,0,0,0,0,0,0,0,5496
51,-944.046341,65,0,0,0,0,0,0,0,5520
52,-1231.384659,113,0,0,0,0,0,0,0,5592
53,-1014.38356,49,0,0,0,0,0,0,0,5616
54,-532.530655,38,0,0,0,0,0,0,0,5800
55,-855.633759,38,0,0,0,0,0,0,0,5824
56,-1304.151764,101,0,0,0,0,0,0,0,5888
57,-746.246841,65,0,0,0,0,0,0,0,5944
58,-581.409409,20,0,0,0,0,0,0,0,5960
59,-749.498795,50,0,0,0,0,0,0,0,5992
60,-897.586639,51,0,0,0,0,0,0,0,6024
61,-1225.572449,103,0,0,0,0,0,0,0,6072
62,-576.002655,32,0,0,0,0,0,0,0,6080
63,-663.425354,27,0,0,0,0,0,0,0,6160
64,-1070.352905,28,0,0,0,0,0,0,0,6216
65,-685.0737,40,0,0,0,0,0,0,0,6280
66,-655.225891,31,0,0,0,0,0,0,0,6408
67,-799.853867,47,0,0,0,0,0,0,0,6448
68,-849.050262,33,0,0,0,0,0,0,0,6544
69,-1147.826599,91,0,0,0,0,0,0,0,6616
70,-1096.254883,75,0,0,0,0,0,0,0,6624
