episode,total_reward,length,killcount,avg_health_loss_per_step,total_timesteps
1,0.0,66,0,1.5151515151515151,528
2,-1.0,66,0,1.5151515151515151,528
3,0.0,67,0,1.492537313432836,536
4,0.0,81,0,1.2345679012345678,648
5,0.0,81,0,1.2345679012345678,648
6,2.0,99,0,1.0101010101010102,792
7,1.0,99,0,1.0101010101010102,792
8,2.0,104,0,0.9615384615384616,832
9,0.0,65,0,1.5384615384615385,1048
10,-1.0,66,0,1.5151515151515151,1056
11,1.0,74,0,1.3513513513513513,1240
12,0.0,66,0,1.5151515151515151,1360
13,0.0,81,0,1.2345679012345678,1440
14,-1.0,82,0,1.2195121951219512,1448
15,1.0,100,0,1.0,1448
16,2.0,118,0,0.847457627118644,1480
17,1.0,61,0,1.639344262295082,1536
18,0.0,72,0,1.3888888888888888,1632
19,-1.0,66,0,1.5151515151515151,1888
20,-1.0,66,0,1.5151515151515151,1968
21,0.0,65,0,1.5384615384615385,2000
22,0.0,72,0,1.3888888888888888,2024
23,1.0,110,0,0.9090909090909091,2120
24,0.0,85,0,1.1764705882352942,2128
25,1.0,108,0,0.9259259259259259,2400
26,0.0,66,0,1.5151515151515151,2416
27,1.0,107,0,0.9345794392523364,2488
28,-1.0,66,0,1.5151515151515151,2528
29,1.0,74,0,1.3513513513513513,2616
30,1.0,83,0,1.2048192771084338,2632
31,1.0,97,0,1.0309278350515463,2896
32,0.0,66,0,1.5151515151515151,2944
33,2.0,108,0,0.9259259259259259,2992
34,-1.0,66,0,1.5151515151515151,3056
35,1.0,75,0,1.3333333333333333,3088
36,0.0,90,0,1.1111111111111112,3120
37,-1.0,66,0,1.5151515151515151,3144
38,0.0,73,0,1.36986301369863,3216
39,-1.0,66,0,1.5151515151515151,3424
40,-1.0,60,0,1.6666666666666667,3472
41,0.0,77,0,1.2987012987012987,3560
42,-1.0,56,0,1.7857142857142858,3592
43,0.0,65,0,1.5384615384615385,3736
44,0.0,83,0,1.2048192771084338,3784
45,2.0,112,0,0.8928571428571429,3952
46,-1.0,70,0,1.4285714285714286,4032
47,0.0,81,0,1.2345679012345678,4072
48,2.0,126,0,0.7936507936507936,4096
49,1.0,83,0,1.2048192771084338,4224
50,0.0,81,0,1.2345679012345678,4240
51,0.0,59,0,1.694915254237288,4424
52,0.0,90,0,1.1111111111111112,4456
53,0.0,67,0,1.492537313432836,4568
54,1.0,104,0,0.9615384615384616,4616
55,-1.0,66,0,1.5151515151515151,4624
56,0.0,81,0,1.2345679012345678,4720
57,0.0,70,0,1.4285714285714286,4800
58,0.0,87,0,1.1494252873563218,4920
59,-1.0,66,0,1.5151515151515151,4952
