episode,total_reward,length,killcount,avg_health_loss_per_step,total_timesteps
1,-10.0,66,0,1.5151515151515151,528
2,-10.0,66,0,1.5151515151515151,528
3,-10.0,66,0,1.5151515151515151,528
4,-8.0,72,0,1.3888888888888888,576
5,-8.0,81,0,1.2345679012345678,648
6,-6.0,94,0,1.0638297872340425,752
7,-4.0,99,0,1.0101010101010102,792
8,-6.0,108,0,0.9259259259259259,864
9,-10.0,66,0,1.5151515151515151,1056
10,-8.0,90,0,1.1111111111111112,1296
11,-8.0,96,0,1.0416666666666667,1296
12,-8.0,65,0,1.5384615384615385,1384
13,-8.0,81,0,1.2345679012345678,1400
14,-8.0,81,0,1.2345679012345678,1440
15,-6.0,100,0,1.0,1448
16,-4.0,118,0,0.847457627118644,1472
17,-8.0,72,0,1.3888888888888888,1632
18,-10.0,66,0,1.5151515151515151,1824
19,-10.0,63,0,1.5873015873015872,1888
20,-10.0,66,0,1.5151515151515151,1968
21,-8.0,84,0,1.1904761904761905,1968
22,-10.0,66,0,1.5151515151515151,1976
23,-8.0,66,0,1.5151515151515151,2000
24,-8.0,87,0,1.1494252873563218,2096
25,-10.0,57,0,1.7543859649122806,2424
26,-6.0,107,0,0.9345794392523364,2488
27,-10.0,66,0,1.5151515151515151,2496
28,-10.0,66,0,1.5151515151515151,2528
29,-8.0,95,0,1.0526315789473684,2648
30,-8.0,71,0,1.408450704225352,2664
31,-4.0,116,0,0.8620689655172413,2752
32,-6.0,98,0,1.0204081632653061,2760
33,-10.0,66,0,1.5151515151515151,3024
34,-10.0,66,0,1.5151515151515151,3056
35,-10.0,81,0,1.2345679012345678,3136
36,-4.0,93,0,1.075268817204301,3168
37,-10.0,66,0,1.5151515151515151,3192
38,-10.0,66,0,1.5151515151515151,3280
39,-2.0,118,0,0.847457627118644,3592
40,-8.0,69,0,1.4492753623188406,3608
41,-6.0,107,0,0.9345794392523364,3616
42,-8.0,80,0,1.25,3664
43,-6.0,72,0,1.3888888888888888,3768
44,-8.0,77,0,1.2987012987012987,3784
45,-8.0,81,0,1.2345679012345678,3928
46,-4.0,114,0,0.8771929824561403,4048
47,-10.0,68,0,1.4705882352941178,4136
48,-10.0,66,0,1.5151515151515151,4144
49,-8.0,81,0,1.2345679012345678,4312
50,-6.0,67,0,1.492537313432836,4320
51,-10.0,71,0,1.408450704225352,4336
52,-6.0,106,0,0.9433962264150944,4456
53,-8.0,69,0,1.4492753623188406,4480
54,-10.0,66,0,1.5151515151515151,4576
55,-8.0,70,0,1.4285714285714286,4696
56,-8.0,67,0,1.492537313432836,4856
57,-6.0,99,0,1.0101010101010102,4936
58,-8.0,81,0,1.2345679012345678,4984
59,-6.0,94,0,1.0638297872340425,5064
60,-8.0,64,0,1.5625,5088
61,-6.0,84,0,1.1904761904761905,5152
62,-10.0,88,0,1.1363636363636365,5160
63,-8.0,81,0,1.2345679012345678,5504
64,-8.0,66,0,1.5151515151515151,5512
65,-8.0,76,0,1.3157894736842106,5544
66,-10.0,66,0,1.5151515151515151,5616
67,-2.0,119,0,0.8403361344537815,5648
68,-6.0,75,0,1.3333333333333333,5664
69,-8.0,66,0,1.5151515151515151,5680
70,-8.0,70,0,1.4285714285714286,5720
71,-8.0,66,0,1.5151515151515151,6072
72,-8.0,81,0,1.2345679012345678,6160
73,-8.0,65,0,1.5384615384615385,6184
74,-8.0,85,0,1.1764705882352942,6184
75,-8.0,68,0,1.4705882352941178,6224
76,-8.0,88,0,1.1363636363636365,6424
77,-6.0,109,0,0.9174311926605505,6488
78,-4.0,112,0,0.8928571428571429,6544
79,-10.0,66,0,1.5151515151515151,6752
80,-8.0,80,0,1.25,6800
81,-8.0,81,0,1.2345679012345678,6832
82,-6.0,110,0,0.9090909090909091,6952
83,-2.0,105,0,0.9523809523809523,7024
84,-8.0,66,0,1.5151515151515151,7072
85,-8.0,81,0,1.2345679012345678,7136
86,-4.0,96,0,1.0416666666666667,7192
87,-8.0,69,0,1.4492753623188406,7304
88,-10.0,66,0,1.5151515151515151,7360
89,-6.0,87,0,1.1494252873563218,7496
90,-8.0,77,0,1.2987012987012987,7568
91,-8.0,76,0,1.3157894736842106,7744
92,-6.0,94,0,1.0638297872340425,7776
93,-8.0,66,0,1.5151515151515151,7888
94,-6.0,109,0,0.9174311926605505,7944
95,-10.0,82,0,1.2195121951219512,7960
96,-8.0,72,0,1.3888888888888888,8072
97,-6.0,114,0,0.8771929824561403,8104
98,-8.0,81,0,1.2345679012345678,8216
99,-8.0,81,0,1.2345679012345678,8392
100,-10.0,66,0,1.5151515151515151,8416
101,-10.0,66,0,1.5151515151515151,8472
102,-8.0,66,0,1.5151515151515151,8488
103,-6.0,92,0,1.0869565217391304,8512
104,-8.0,66,0,1.5151515151515151,8600
