episode,total_reward,length,xscroll,coins,lives,score,time_left,total_timesteps
1,18.4,2899,184,0,0,0,335,23192
2,64.1,3937,141,1,0,30,261,31496
3,109.3,4249,593,1,0,40,209,33992
4,167.5,4510,175,3,0,180,366,36080
5,11.1,1066,111,0,0,0,360,40024
6,164.3,5448,643,2,0,170,0,43584
7,165.4,7542,654,2,0,170,0,60336
8,700.0,7566,0,14,0,440,0,60528
9,281.9,7587,819,4,0,465,0,60696
10,9.2,3356,92,0,0,0,358,60840
11,117.7,3090,177,2,0,50,389,68304
12,264.3,7542,643,4,0,215,0,83528
13,479.5,3896,795,8,0,200,210,91504
14,224.7,4364,747,3,0,215,170,95440
15,264.4,7528,644,4,0,120,0,96304
16,214.3,4529,643,3,0,100,0,96928
17,301.6,7149,1016,4,0,330,72,97216
18,157.0,1052,570,2,0,50,301,99920
19,195.0,4515,950,2,0,120,0,104424
20,168.0,5517,680,2,0,70,0,104976
21,161.6,1684,616,2,0,50,356,110400
22,118.3,868,183,2,0,50,392,111920
23,116.0,3988,160,2,0,220,385,115432
24,67.5,2095,175,1,0,70,389,116680
25,131.0,2985,810,1,0,170,251,121096
26,163.5,3620,135,3,0,140,372,124400
27,179.7,3113,797,2,0,200,188,129328
28,99.9,1685,999,0,0,40,180,134576
29,160.5,4115,1105,1,0,60,182,144840
30,100.9,4527,1009,0,0,200,5,146616
31,126.3,2813,763,1,0,80,304,146904
32,102.5,4309,1025,0,0,70,143,151152
33,68.1,2851,181,1,0,50,386,152136
34,13.8,1125,138,0,0,10,387,155616
35,1077.6,7528,776,20,0,1965,0,156528
36,63.8,3589,138,1,0,190,374,163288
37,1927.5,6272,775,37,0,2105,246,165608
38,64.3,2850,643,0,0,20,0,173952
39,62.8,3759,628,0,0,30,367,174912
40,165.4,2791,654,2,0,50,0,177944
41,133.9,2714,1339,0,0,50,393,178240
42,119.0,3588,190,2,0,130,390,180840
43,880.9,2521,1309,15,0,340,396,185776
44,79.6,5307,796,0,0,80,263,189360
45,932.1,2164,1321,16,0,410,394,191264
46,171.9,2199,719,2,0,80,294,192504
47,67.3,1616,173,1,0,50,391,198704
48,109.6,1218,596,1,0,50,359,199104
49,750.0,2861,0,15,0,340,0,201128
50,132.1,1415,1321,0,0,60,396,202584
51,112.8,735,628,1,0,30,359,204984
52,17.9,522,179,0,0,0,392,205304
53,877.6,5306,776,16,0,2290,237,205736
54,161.1,4287,1111,1,0,90,180,215136
55,131.4,2068,1314,0,0,40,396,215248
56,661.7,2947,617,12,0,260,369,216080
57,229.3,1716,793,3,0,80,204,216312
58,180.9,1473,1309,1,0,90,341,217520
59,255.1,1779,1551,2,0,90,390,219216
60,175.7,665,757,2,0,60,364,221632
61,1499.0,5668,990,28,0,2280,135,223288
62,202.7,967,1027,2,0,50,338,225256
63,168.6,1367,686,2,0,90,328,227016
64,108.9,1679,589,1,0,50,380,228680
65,152.9,1896,1029,1,0,80,235,230304
66,131.5,1509,1315,0,0,40,394,233704
67,130.0,1844,800,1,0,90,322,233968
68,67.4,1576,174,1,0,40,389,239624
69,101.8,2082,1018,0,0,180,325,239944
70,119.8,852,198,2,0,60,394,240784
71,1018.5,4504,1185,18,0,1475,245,241336
72,131.8,1210,1318,0,0,40,397,250464
73,202.8,1599,1028,2,0,70,236,252736
74,856.5,3765,65,17,0,620,395,255376
75,170.4,1873,704,2,0,70,313,256320
76,119.4,2156,694,1,0,70,362,256872
77,802.3,3540,1023,14,0,485,340,257000
78,211.5,1192,1115,2,0,120,317,260000
79,706.4,3865,64,14,0,1295,394,264624
80,949.2,4424,992,17,0,2190,139,265696
81,281.2,1208,1312,3,0,70,396,266664
82,68.4,1758,184,1,0,40,390,266800
83,151.9,1002,1019,1,0,40,298,268016
84,252.7,1585,1027,3,0,140,277,268056
85,59.1,631,591,0,0,0,378,271848
86,68.1,1310,181,1,0,40,392,276176
87,112.1,1655,121,2,0,50,386,277864
88,231.4,1047,1314,2,0,200,394,280224
89,151.3,3049,1013,1,0,110,220,280712
90,109.3,571,593,1,0,30,369,280744
91,114.2,861,142,2,0,60,388,284752
92,68.8,631,188,1,0,20,393,285272
93,111.4,655,614,1,0,20,366,285984
94,802.3,2308,523,15,0,2010,324,286520
95,179.2,2528,792,2,0,100,330,286888
96,654.3,4090,543,12,0,1330,294,289592
97,230.8,1180,1308,2,0,90,297,290152
98,212.9,960,629,3,0,70,365,293664
99,171.1,941,711,2,0,60,346,294416
100,117.6,558,176,2,0,40,390,294616
101,231.5,1393,1315,2,0,140,393,295896
102,166.9,836,169,3,0,90,391,296280
103,367.5,1514,1675,4,0,140,304,297384
104,102.3,1623,1023,0,0,60,282,299504
105,133.4,783,1334,0,0,20,395,300680
106,121.5,1005,715,1,0,40,331,302656
107,18.3,1406,183,0,0,30,391,304912
108,127.2,1352,772,1,0,90,328,306712
109,125.7,1406,757,1,0,70,296,307528
110,130.0,1193,1300,0,0,60,309,309048
111,64.2,1465,142,1,0,30,388,309104
112,1001.6,5162,516,19,0,775,328,309312
113,118.4,439,184,2,0,40,392,310224
114,282.2,1311,1322,3,0,100,322,311168
115,163.4,697,567,1,0,30,384,316872
116,219.0,721,595,2,0,50,365,317064
117,112.0,783,560,0,0,10,346,317560
118,162.0,791,560,1,0,30,368,317624
119,164.0,1185,570,1,0,80,380,320776
120,195.6,1260,728,1,0,30,293,321376
121,479.4,1637,1897,2,0,120,379,324392
122,305.4,1652,1027,2,0,100,279,324512
123,305.8,1407,1029,2,0,80,231,328320
124,253.2,1630,1016,1,0,90,318,330600
125,85.2,1295,176,1,0,50,392,331136
126,909.8,2069,549,16,0,1695,347,333424
127,252.4,1214,1012,1,0,80,326,334104
128,205.4,1255,1027,0,0,40,306,334552
129,39.4,592,197,0,0,10,392,335872
130,215.8,674,579,2,0,40,379,335992
131,943.8,2559,719,16,0,1610,351,338096
132,86.6,613,183,1,0,30,391,339456
133,90.2,523,201,1,0,20,393,340056
134,144.6,1498,723,0,0,30,291,340304
135,137.6,594,188,2,0,60,393,340744
136,216.0,978,580,2,0,60,367,341248
137,135.8,557,179,2,0,50,392,343912
138,83.4,820,167,1,0,40,391,346864
139,211.0,935,555,2,0,60,380,348224
140,853.6,3384,768,14,0,1290,346,348448
141,261.8,906,559,3,0,70,374,348496
142,216.6,459,583,2,0,40,382,350536
143,364.4,945,1322,2,0,100,396,351472
144,34.0,398,170,0,0,0,391,351680
145,1113.8,2280,1319,17,0,380,395,352344
146,302.4,2012,1012,2,0,140,258,354192
147,135.0,874,175,2,0,60,391,355216
148,182.0,875,160,3,0,90,388,355448
149,848.2,2082,741,14,0,1680,304,356712
150,317.0,899,1335,1,0,40,394,358872
151,366.0,1004,1330,2,0,60,393,360376
152,208.8,890,544,2,0,70,372,361312
153,131.6,857,158,2,0,70,390,362072
154,187.4,880,687,1,0,40,358,363752
155,253.6,1660,1018,1,0,100,305,363816
156,158.2,1676,541,1,0,30,376,364880
157,168.0,619,590,1,0,30,376,366264
158,201.2,1736,756,1,0,50,319,369336
159,209.4,701,547,2,0,50,370,369424
160,263.2,933,1316,0,0,20,397,371216
161,165.0,938,575,1,0,50,380,372384
162,258.8,1723,544,3,0,120,369,372656
163,462.0,1792,1310,4,0,110,207,374712
164,192.6,1263,713,1,0,150,328,376368
165,273.6,1069,618,3,0,90,368,377888
166,219.6,664,598,2,0,60,381,377968
167,214.4,2167,572,2,0,120,383,379408
168,186.2,590,181,3,0,70,393,381088
169,218.0,981,590,2,0,60,357,382560
170,211.0,1715,555,2,0,200,377,384936
171,168.4,723,592,1,0,30,367,385192
172,220.0,1652,600,2,0,100,370,385600
173,262.2,1021,1311,0,0,50,392,386056
174,242.0,1033,710,2,0,50,326,386232
