episode,total_reward,length,xscroll,coins,lives,score,time_left,total_timesteps
1,376.4,2380,976,21,-1,2425,345,5655136
2,472.6,2836,1311,18,-1,380,397,5658784
3,489.3,2842,1316,21,-1,440,396,5658832
4,701.25,2911,1892,18,-1,410,381,5659384
5,889.3,3170,2357,21,-1,500,352,5661456
6,-32.7,3938,73,27,-1,2675,396,5667600
7,1063.4,5196,3058,20,-1,450,0,5677664
8,278.15,2885,706,28,-1,1815,363,5678216
9,1067.75,5421,3047,24,-1,690,0,5679464
10,1105.3,2886,3074,4,-1,130,0,5681872
11,719.95,2881,1910,20,-1,440,386,5682432
12,913.25,2983,2356,24,-1,510,372,5685320
13,707.2,2916,1895,19,-1,440,384,5690928
14,470.15,2833,1317,17,-1,360,397,5700880
15,1056.05,5375,3037,22,-1,540,0,5701832
16,410.7,2742,1007,29,-1,2165,276,5703808
17,893.55,3369,2355,24,-1,610,352,5704616
18,479.9,2978,1322,20,-1,440,396,5709144
19,467.55,2837,1311,17,-1,360,396,5713624
20,546.75,845,1410,5,-1,140,394,5715904
21,225.85,2071,561,21,-1,1755,356,5717448
22,1060.35,5209,3027,22,-1,500,0,5721136
23,783.3,5474,2355,23,-1,550,358,5726224
24,610.7,3114,1641,22,-1,500,388,5726744
25,460.5,2862,1309,16,-1,350,397,5727512
26,884.25,3255,2355,21,-1,580,356,5729848
27,578.65,599,1309,17,-1,360,397,5731016
28,692.55,2897,1906,15,-1,340,386,5736800
29,63.1,4006,371,23,-1,2210,368,5749496
30,716.75,2937,1884,22,-1,480,377,5750240
31,1061.55,5265,3037,22,-1,500,0,5758024
32,910.4,3024,2354,24,-1,520,364,5760992
33,1055.45,5203,3064,18,-1,420,0,5762760
34,1043.4,5204,3034,18,-1,410,0,5769144
35,1055.6,5244,3032,21,-1,490,0,5771800
36,1083.3,5210,3047,25,-1,620,0,5772696
37,492.4,2904,1319,22,-1,490,397,5773472
38,689.8,3148,1843,22,-1,510,384,5774680
39,473.1,2830,1324,17,-1,370,397,5780664
